Pressure (dbar),Depth (m),Temperature (°C),Conductivity (µS/cm),Specific Conductance (µS/cm),Salinity (PSS),Sound Velocity (m/s),Density (kg/m³),Latitude,Longitude,UTC Time,File Name
6.1499999999999995,6.271336003644338,9.461083177955791,302.0552516055785,438.2555969668396,0.20703774806020023,1445.4865286185077,999.940582298684,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
6.449999999999999,6.577204099614988,9.338810616663906,301.4220592653324,438.8941460876612,0.20725527032650096,1444.9991023409243,999.9520598744128,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
6.749999999999999,6.883069147861971,9.249221637530335,301.25105729934813,439.79256008731727,0.2076224876467544,1444.6425659079307,999.9608902365442,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
7.049999999999999,7.188931582476077,9.158132198450604,300.7118996747949,440.1761459434176,0.20773778176744265,1444.2788329884518,999.9695298701852,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
7.35,7.494791573665427,9.076638703221429,300.1076996083115,440.3422858427948,0.20775421541791295,1443.953111046242,999.9772475754424,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
7.65,7.800649494192759,9.009427010526418,298.99314059591177,439.5739165252167,0.20732779913185204,1443.68425204533,999.9834500255994,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
7.95,8.10650558111078,8.948457933559746,298.800024783426,440.0789357917304,0.2075238130107663,1443.4411573465004,999.9896178579808,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
8.25,8.41235979671359,8.882049346303198,298.441639040559,440.4126149369435,0.20763197268912725,1443.1753910748746,999.9960670184288,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
8.549999999999999,8.718212439656718,8.846154300084644,298.4100495079157,440.8330217698757,0.20780623128051579,1443.0338966900727,1000.0002820572294,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
8.85,9.024064295011776,8.84854567104805,298.516092239944,440.95852025819266,0.20786803346877028,1443.0485132634137,1000.0015976432586,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
